Change,Excluded,Original,en,it,
,,"Hmm... so you *walked* from Beagle to here?""","Hmm... so you *walked* from Beagle to here?""","Hmm... quindi sei venuto a piedi da Beagle fino a
qui?",
NEW,,"Through the arcane neurotoxic mist and stuff?
You must be serious about this.",,,
NEW,,"Let me explain to you the situation:
We're currently stationed inside an *anomalous skyscraper*",,,
,,Reality isn't really consistent the higher you go.,Reality isn't really consistent the higher you go.,"La realtà non è più coerente man mano che si sale
in alto.",
NEW,,"Our job is to explore, document, and archive everything
we find and we’re actively recruiting explorers and
freelancers.",,,
NEW,,"When you're stocked up and feel ready, 
you can begin exploring by going to the Hypernet
point upstairs",,,
NEW,,"Be warned, though—each floor above us follows its own rules. 
Gravity gets weird, logic bends in weird ways, 
and time itself may lose its grip.",,,
,,But that's exactly why you're here, isn't it?,But that's exactly why you're here, isn't it?
,,PSI Anti-S Choker was found!,PSI Anti-S Choker was found!,Hai trovato lo strozzatore anti-S PSI!,
,,Activate switch?,Activate switch?,Attivare l'interruttore?,
,,Nowhere.,Nowhere.,Luogo inesistente.,
,,Somewhere,Somewhere,In qualche luogo,
,,Fishing Tackle was found!,Fishing Tackle was found!,Attrezzatura da pesca trovata!,
NEW,,"This experience is not what you think it is. 
Long forgotten a shadow, will never bring light.",,,
,,HELP ME,HELP ME,Aiutami,
,,Good luck and DON'T fuck it up!,Good luck and DON'T fuck it up!,Buona fortuna e NON rovinare tutto!,
,,Toy Magic Wand was found!,Toy Magic Wand was found!,È stata ritrovata la bacchetta magica giocattolo!,
,,Bruschetta was found!,Bruschetta was found!,Hai trovato una Bruschetta!,
,,Suspicious Soup was found!,Suspicious Soup was found!,Hai trovato una Zuppa sospetta!,
,,Leaf-Wrapped Fish was found!,Leaf-Wrapped Fish was found!,Hai trovato un Pesce avvolto in una foglia!,
,,Roasted Hare was found!,Roasted Hare was found!,Hai trovato una Lepre arrostita!,
,,Portable GPS Navigator was found!,Portable GPS Navigator was found!,Hai trovato un Navigatore GPS portatile!,
,,Hand Sanitizer was found!,Hand Sanitizer was found!,Hai trovato un Disinfettante per le mani!,
,,Travel Backpack was found!,Travel Backpack was found!,Hai trovato uno Zaino da viaggio!,
,,Fake Treasure Map was found!,Fake Treasure Map was found!,Hai trovato una Falsa mappa del tesoro!,
,,Lantern was found!,Lantern was found!,Hai trovato una Lanterna,
,,Wayfinder's Drum was found!,Wayfinder's Drum was found!,Hai trovato il Tamburo del viaggiatore,
,,Utensil Set was found!,Utensil Set was found!,Hai trovato un Set di utensili!,
,,Cooking Pot was found!,Cooking Pot was found!,Hai trovato una Pentola!,
,,Fighter Action Figure was found!,Fighter Action Figure was found!,Hai trovato una Action figure di un combattente!,
,,Flexible Staff was found!,Flexible Staff was found!,Hai trovato Bastone flessibile,
,,Butter-Poached Lobster was found!,Butter-Poached Lobster was found!,Hai trovato un'Aragosta al burro!,
,,Mushroom Risotto was found!,Mushroom Risotto was found!,Hai trovato un Risotto ai funghi!,
NEW,,"Every month, the moon descends to earth 
and sits atop the temple roof
She bleeds milk and worms.",,"Ogni mese, la luna scende sulla terra
e si siede sul tetto del tempio.
Sanguina latte e vermi.",
NEW,,"The village cats line up to lick it, 
hoping for sweet dreams.
One night, one of them dares to ask her, 
'Do you dream, moon?'",,"I gatti del villaggio si mettono in fila per leccarla,
sperando in sogni dolci.
Una notte, uno di loro osa chiederle:
“Tu sogni, luna?”",
NEW,,"She crushes him with a giant foot 
she didn’t have before.
'Yes,' she says. 'I dream that none 
of you exist anymore.'",,"Lei lo schiaccia con un piede gigante
che prima non aveva.
“Sì,” dice. “Sogno che nessuno
di voi esista più.”",
NEW,,"...And that’s just how life was in 
my village, out in the 
Free States of the Midwest.",,"
…Ed è così che andavano le cose
nel mio villaggio, là fuori
negli Stati Liberi del Midwest.
",
NEW,,"I fuckin' love America dude, but Old Europe is
pretty neat.",,"Amo fottutamente l’America, fratè, ma la Vecchia Europa
è una figata.",
NEW,,"I fuckin' love America dudette, but Old Europe is
pretty neat.",,"Amo fottutamente l’America, sorella, ma la Vecchia Europa
è una figata.",
NEW,,"I fuckin' love America dud*, but Old Europe is
pretty neat.",,"Amo fottutamente l’America, amico*, ma la Vecchia Europa
è una figata.",
,,You found a set of basic items!,You found a set of basic items!,Hai trovato un set di oggetti di base!,
NEW,,"Hello \N[1] i'm Selene from HQ!
Welcome to the Omega Tower!","Hello \N[1] i'm Selene from HR!
Welcome to the Omega Tower!","Ciao \N[1]! Sono Selene delle risorse umane!
Benvenuto nella Torre Omega!",
NEW,,"Here is your free starting kit, just 
like it was promised in the promo pamphlet!","Here is your free starting kit, just 
like it was promised in the promo pamphlet!","Troverai armi, vestiti, cianfrusaglie
e roba taumaturgica che abbiamo preparato 
Per le nuove reclute.",
NEW,,"You’ll find weapons, clothes, trinkets and
thamaturgical stuff we’ve put together for new recruits.","You’ll find weapons, clothes, trinkets and
thamaturgical stuff we’ve put together for new recruits.","Ecco il tuo kit iniziale gratuito,
proprio come promesso nel volantino promozionale!",
,,"And yes, it even includes a gun!",,"
E si, include anche una pistola!",
NEW,,"Make sure to visit our \C[1]Training center\C[0],
just take the the stairs below",,"Non dimenticare di visitare il nostro
\C[1]Centro d’addestramento\C[0],
basta scendere le scale qui sotto.",
NEW,,Next train’s running late again, huh?,Il prossimo treno è di nuovo in ritardo.,
NEW,,Not sure if this goes to Lisbon or not.,,Non so se questo va a Lisbona o no.,
NEW,,"They raised fares again, and for what?
I've already owe Esoteric Heavy Industries
like 15% of my soul.",,"Hanno alzato ancora i biglietti, e per cosa?
Devo già il 15% della mia anima a Esoteric Heavy Industries.",
NEW,,"If something blocks your path...just shove it!
Press \C[1]C\C[0] to shove or break the item in
front of you.",,"Se qualcosa blocca il tuo cammino… spingilo via!
Premi \C[1]C\C[0] per spingere o rompere
l’oggetto davanti a te.",
NEW,,"You can also shove people and creatures
but be careful about not throwing anybody
on the rails!",,"Puoi anche spingere persone e creature,
ma fai attenzione a non buttarle sui binari!",
,,Drive your RV,Drive your RV,Guida il tuo camper,
,,Running Shoes was found!,Running Shoes was found!,hai trovato delle Scarpe da corsa!,
,,Bottled Water was found!,Bottled Water was found!,Hai trovato dell'Acqua in bottiglia!,
,,Saline Nasal Spray was found!,Saline Nasal Spray was found!,Hai trovato uno Spray nasale salino!,
,,Is empty,Is empty,È vuoto,
,,Morphine was found!,Morphine was found!,Hai trovato la Morfina!,
,,Play Locktris,Play Locktris,Gioca a Locktris,
,,Select difficulty:,Select difficulty:,Seleziona la difficoltà:,
,,Walk in the park,Walk in the park,Passeggiata nel parco,
,,Easy,Easy,Facile,
,,Medium,Medium,Medio,
,,Hard,Hard,Difficile,
,,Hyperhard,Hyperhard,Iperduro,
,,1346\G were found!,1346\G were found!,Sono stati trovati 1346\G!,
,,Mesopotamian Sword was found!,Mesopotamian Sword was found!,È stata rinvenuta una Spada mesopotamica!,
,,Muscle Relaxant was found!,Muscle Relaxant was found!,Hai trovato un Rilassante muscolare!,
,,Increase level,Increase level,Aumentare il livello,
,,Level MAX,Level MAX,Livello MAX,
,,Level 50,Level 50,Livello 50,
,,Access bank,Access bank,Accesso alla banca,
,,Reset level,Reset level,Ripristina livello,
,,Change class,Change class,Cambia classe,
,,Enter the arena?,Enter the arena?,Entrare nell'arena?,
,,Choose your opponent,Choose your opponent,Scegli il tuo avversario,
,,Enter tournament,Enter tournament,Partecipa al torneo,
,,Exit,Exit,Uscita,
,,Sleep,Sleep,Sonno,
,,Save,Save,Salva,
,,Is locked.,Is locked.,È bloccato.,
,,Lockpick,Lockpick,Grimaldello,
,,Level resetted,Level resetted,Livello ripristinato,
NEW,,"If you come across a high level that can one-shot
you and your friends, you can always flee at the
first turn without taking damage.",,"Se incontri un nemico di alto livello che può shottare
te e i tuoi amici, puoi sempre fuggire
al primo turno senza subire danni.",
NEW,,"You can select a new skill to train
in the training menu, win battles to gain
learning points.",,"Puoi selezionare una nuova abilità da allenare
nel menu di addestramento, vinci battaglie per ottenere
punti apprendimento.",
NEW,,"...or you can just buy a online course online
that will teach you that skill or spell, but they
are pretty pricey.",,"...oppure puoi semplicemente comprare un corso online
che ti insegnerà quella skill o incantesimo, ma
costano un bel po’.",
,,\N[2] joins the party!,\N[2] joins the party!,\N[2] si unisce al Party!,
,,Check encyclopedia,Check encyclopedia,Controlla l'enciclopedia,
,,You lack in sophistication,You lack in sophistication,Ti manca la raffinatezza,
,,Get some muscles!,Get some muscles!,Metti su un po' di muscoli!,
,,Where you want to go?,Where you want to go?,Dove vuoi andare?,
,,Hypernet Point,Hypernet Point,Hypernet Point,
,,Outside the tower,Outside the tower,Fuori dalla torre,
,,Shopping mall,Shopping mall,Centro commerciale,
,,Piazza dei Martiri,Piazza dei Martiri,Piazza dei Martiri,
,,Absorb,Absorb,Assorbire,
NEW,,"You absorbed the creature.
You are now just like them,",,,
,,Test bust,Test bust,Busto di prova,
,,Climb down,Climb down,Scendere,
,,Do nothing,Do nothing,Non fare nulla,
,,Select mode,Select mode,Seleziona modalità,
,,Dungeon,Dungeon,Dungeon,
,,MAX Gauntlet,MAX Gauntlet,MAX Gauntlet,
,,Select difficulty,Select difficulty,Seleziona difficoltà,
,,Permadeath,Permadeath,Permadeath,
,,Standard,Lite,Lite,
NEW,,"In \C[1]Permadeath mode\C[0] if your character perish in battle
you will have to create a new one.
Loot the body of your past character to recover items and
euros.","In \C[1]Permadeath mode\C[0] if your character perish in battle
you will have to create a new one.
Loot the body of your past character to recover items and
euros.",,
NEW,,"In \C[1]Standard mode\C[0] if your character get defeated
during battle will rewake at the base floor of the dungeon.
Your allies will still die if they are not resurrected
by the end of the battle.","In \C[1]Lite mode\C[0] if your character get defeated
during battle will rewake at the base floor of the dungeon.
Your allies will still die if they are not resurrected
by the end of the battle.",,
,,What do you believe in?,What do you believe in?,In cosa credi?,
,,Muscles,Muscles,Muscoli,
,,Science,Science,Scienza,
,,Magic,Magic,Magia,
,,Religion,Religion,Religione,
,,Hypercapitalism,Hypercapitalism,Ipercapitalismo,
,,Nothing really,Nothing really,Nulla in particolare,
,,Level 1,Level 1,Livello 1,
,,Level 25,Level 25,Livello 25,
,,Level 75,Level 75,Livello 75,
,,Random,Random,Casuale,
,,Select your gender,Select your gender,Seleziona il tuo genere,
,,Male,Male,Uomo,
,,Female,Female,Donna,
,,Non binary,Non binary,Non binari*,
,,Random character,Random character,Personaggio casuale,
,,New character,New character,Nuovo personaggio,
,,Random class,Random class,Classe casuale,
,,Choose class,Choose class,Scegli la classe,
NEW,,That mutt used tae be my man. Name was Fergus.,,Quel bastardino era il mio uomo. Si chiamava Fergus.,
NEW,,"Then some daft bastard of a wizard cursed him, 
fer shits and bloody giggles.",,"Poi qualche stronzo di mago l’ha maledetto,
solo per ridere tra merda e sangue.",
NEW,,"Wasn’t quick, naw. First, his nails curled 
back ' split like old kindling, then teeth 
fell out in chunks. ",,"Non è stato veloce, no. Prima gli si sono arricciate le unghie
all’indietro, si sono spezzate come legna vecchia, poi i denti
gli sono caduti a pezzi.",
NEW,,"He screamed like I never heard before, not even 
when our son died in the Psychic Wars.",,"Ha urlato come non l’avevo mai sentito, neanche
quando nostro figlio è morto nelle Guerre Psichiche.",
NEW,,"I held him while his legs bent wrong 
ways an’ his jaw stretched out like taffy. 
Screamin’ turned to whimperin’.",,"L’ho tenuto mentre le gambe gli si piegavano male
e la mascella si allungava come gomma galvanizzata.
Dalle urla ai lamenti.",
NEW,,"So listen: take him into the dungeon.
Let him die in glory, not pissin’ on his
own paws.",,"Quindi ascolta: portalo nel dungeon.
Fallo morire con onore, non mentre si piscia
Addosso.",
NEW,,"And don’t bring him back, ye hear? 
He’s already gone.",,"E non riportarlo indietro, hai capito?
Lui è già andato.",
NEW,,"I watched my man rot away inside that mutt
day by day.",,"Ho guardato il mio uomo marcire dentro quel cane
giorno dopo giorno.",
NEW,,"I miss when he did the damn dishes.
Let the elder gods sort him out.",,"Mi manca quando lavava i dannati piatti.
Che ci pensino gli dei antichi.",
NEW,,He is just a dog.,,È solo un cane.,
NEW,,"I love the quiet up here, away from the upper
layers noise.",,"Amo il silenzio quassù, lontano dal casino
degli strati superiori.",
NEW,,"We bake everything right here, no frozen 
shipped stuff from the continent.",,"Cuociamo tutto qui, niente roba congelata
spedita dal continente.",
NEW,,"Interact with the \C[1]Globe\C[0] to
travel to the world map.",,"Interagisci con il \C[1]Globo\C[0] per
viaggiare sulla mappa del mondo.",
NEW,,"Be careful: since the Y2K event,
the world is a mess.",,"Fai attenzione: da quando c’è stato l’evento Y2K,
il mondo è un casino.",
NEW,,"There are roaming monsters even
more dangerous of the ones you
will find in the Omega Tower.",,"Ci sono mostri in giro ancora più pericolosi
di quelli che troverai nella Torre Omega.",
NEW,,"Just use the Hypermetro like any
sane human being ok?",,"Usa l’Hypermetro come ogni
essere umano sano di mente, ok?",
NEW,,Let me explain stats:,,"Ora ti spiego le statistiche:""",
NEW,,"\c[1]STR\c[0] is your Strength.
It determines the damage of physical
attacks and skills.",,,
NEW,,"\c[1]CON\c[0] is your Constitution.
It determines your physical defenses
and how much you can carry.",,,
NEW,,"\c[1]INT\c[0] is your Intelligence.
It determines the damage of magical
attacks.",,,
NEW,,"\c[1]WIS\c[0] is your Wisdom.
It determines your magical defenses.",,,
NEW,,"\c[1]DEX\c[0] is your Dexterity.
It determines your turn speed.",,,
NEW,,"\c[1]PSI\c[0] is your Psionics.
It determines your starting AP in
battle and your AP recovery.
It also influences Psionic skills.",,,
NEW,,"You can access the \C[1]Tech tree\C[0]
in the menu or by interacting with this board.",,,
NEW,,"Use materials to unlock permanents
upgrades to your stats, at higher
ranks you will need the help of
a team of researchers to advance.",,,
NEW,,"This is pretty self-explanatory...
I'm so imbararassed to give you this 
explanation but here we are.",,,
NEW,,"Put someting on the switch to 
activate it.
I know is the simplest puzzle
ever conceivable, but my job is ",,,
NEW,,"to explain how it works.
Interact with movable things to
move them, or just kick them with \c[1]C\c[0]",,,
NEW,,"Let me talk to you about \C[1]Worthiness\C[0] and
some heavy stuff ok?",,"Lascia che ti parli di \C[1]Meritevolezza\C[0] e 
di roba pesante, ok?",
NEW,,Please,,Prego,
NEW,,Not interested sorry,,"Non mi interessa, scusa",
NEW,,"The Omega Tower elevator is sentient somehow and
can take likings to certain people who 
prove their worth.",,"L’ascensore della Torre Omega è senziente in 
qualche modo e simpatizza con certe
 Persone che dimostrano il loro valore.",
NEW,,"It will refuse to move to a floor that your
Party has not reached yet, and sometimes if he
judges you worthy enough will show only for you",,"Rifiuterà di portarti a un piano che il tuo gruppo 
non ha ancora raggiunto, e a volte, se ti ritiene degno,
ti mostrerà ",
NEW,,"""Phantom floors"" that exist only for a brief time.
By studying it we recently discovered a hidden
inheritance system: \c[1]Worthiness\c[0] can",,,
NEW,,"be inherithed via a legally binding contract.
This is why back on the train you used to
get there we made you sign so many papers:",,,
NEW,,"we already choosen your successor that will take
your place if you happen to die in the Tower.",,,
NEW,,"Other than /c[1]Worthiness/c[0], also /c[2]Stocks/c[0]
and /c[3]Real estate/c[0] will be inherithed by
your successor, to regain your loot he must find
your body and desacrate the grave,",,,
NEW,,"Pretty buro-metal but that is just how things
works in the Tower under the Archive Foundation.",,,
NEW,,"Before we took control it was pure anarchy, a
simulacrum of the Tower of Babel.",,,
NEW,,"The difference now is that we are using this tower
to study the decaying corpse of God.",,,
NEW,,"Yes it's true, not a conspiracy theory:
The Abramitic God was murdered last year in a 
elaborate ritual named ""The Solomon Ritual""",,,
NEW,,"It was conducted by the 3 pillars of the 
Mages Guild: Lady Margareth, Sir Alesteir 
Crowley and The Father.",,,
NEW,,"They used a young wannabe witch as a living
teonuclear weapon: they turned her memories into
a colossal God slaying mecha of pure light that",,,
NEW,,"pierced God's heart and disintegrated his soul
in quadrillions of pieces, leaving his bloated
body to orbit around Earth.",,,
NEW,,"It also flattened my hometown in the process but
that's another story.",,,
NEW,,"We could just launch a space shuttle filled with
scientists and theologists to land on God and
start taking samples...",,,
NEW,,"But since the Y2K event, 
space travel is impracticable.",,,
NEW,,"It's the Kessler Syndrome: a chain reaction
first started by the ENVISAT satellite.",,,
NEW,,"Everything we put in orbit get shredded by
debris and get added to the chain reaction.",,,
NEW,,"Sometimes also the cadaver of God get
shredded by the debris and they fall on Earth,
looking like mesmerizing comets.",,,
NEW,,NEVER LOOK AT THEM DIRECTLY!,,,
NEW,,"How do i know about all these things?
This is the Archive Foundation. ",,,
NEW,,"We collect everything, even state secrets
and liberate the informations.",,,
NEW,,"It's ok, is not really your problem because the
Archive Foundation will take care of your porfolio
after you die. ",,,
NEW,,"You signed away basically all
your inheritance rights do you remember?",,,
NEW,,"\C[1]Skills\C[0] are grouped in two 
main categories: \C[2]Abilities\C[0] and \C[3]Magic\C[0]",,,
NEW,,"\C[1]Abilities\C[0] uses AP that are
gained on each turn based on 
your \C[3]PSI\C[0] stat",,,
NEW,,"\C[2]Magic\C[0] uses MP, there are
also hybrid abilities that uses
both MP and AP.",,,
NEW,,"Use the \I[38]\C[1]Thinker\C[0] option in
the menu to start crafting and
disassembling items.",,,
NEW,,"Every item needs a certain amount
of materials to be crafted.
The rarer the item the higher the amount
of materials needed.",,,
NEW,,"You can also disassemble items you
no longer use to obtain some materials.",,,
NEW,,"To collect materials slay monsters and
examine every nook and cranny of the world!",,,
NEW,,"Use the\C[1]Computer\C[0] to
access the Hypernet, view the 
Stock market and many other 
marvelous things.",,,
NEW,,"When investing remember this: \C[1]OIL\C[0]
is a extremely volatile stock,
\C[2]SOUL\C[0] is more stable but the value
can change based on current news.",,,
NEW,,"\C[2]SOUL\C[0] price directly influence
the tariff on imported goods ordered
online.",,,
NEW,,"The Omega Tower is designed by the
European Commission as a neutral zone
between the Hyperpowers and we get so
many combined tariffs!",,,
NEW,,"Back to the explanation: when you have
ammassed a large amount of capital
you can try investing in \c[3]Real estate\c[0].",,,
NEW,,"Buy properties around Europe and get
tenants that will pay a daily rent.
Price and attractiveness is influenced
by local news on the city you bought property.",,,
NEW,,"During battle you can sever or destroy
the limbs of a enemy, affecting their stats.",,,
NEW,,"If you sever a vital part of a enemy
during battle it will die in one hit.",,,
NEW,,"Some enemies have multiple vital parts, such
as Hydras and double headed enemies.",,,
NEW,,"You are also composed of squishy organs!
Enemy attacks can break your bones and
puncture your internal organs.",,,
NEW,,"Check the \I[34]\C[1]Health Status\C[0] option
in menu do to a self check of you all body parts.",,,
NEW,,"If you have too many broken parts
your stats will be reduced to a point
where you are useless in battle.",,,
NEW,,"Be sure to heal them, rest or
visit a doctor before you die for real!",,,
NEW,,"Check the blackboard to learn
about states, there are too many
to even begin remembering them...",,,
NEW,,"Select \I[140]\c[1]Cooking\c[0] from main menu to
start cooking delicious meals for your party!",,,
NEW,,"Just pick two ingredients at random: since
the Y2K event we lost all online recipes so
we need to start from the stone age of cooking.",,,
NEW,,"Ever tried a Kebab Bolognese or some
Pinapple Krauts? You can also throw healing
items and drugs in the mix, you mileage may vary!",,,
NEW,,"Check the \I[96] icon in the pause menu
to see how hungry you and your party is.",,,
NEW,,"You can learn new skills by going in
the \I[34]\C[1]Training\C[0] of the main menu.",,,
NEW,,"Skills that your class is proficient on
will have a learning speed bonus: 
\c[1]Primary skills\c[0] have a 4x bonus
and \c[1]Secondary skills\c[0] have a 2x bonus.",,,
NEW,,"You can also learn skills outside your
class specialization but the learning
process will at nornal speed.",,,
NEW,,"Find trainers and fight monsters to gain
experience in the currently trained skill.",,,
NEW,,"Getting a lil' sleepy while deep into the Omega
Tower can be a death sentence, be sure to rest
regularly.",,,
NEW,,"Find inns and beds to get a full rest, you can
also buy camp equipment to set up your camp.",,,
NEW,,"The safest option is to sleep in the camp we set
in the elevator: monsters are repelled by the 
presence of the elevator and is the only reason
the Tower's base floor is not flooded with monsters.",,,
NEW,,"You can also restore some sleep by drinking 
coffee or using stimulants and combat drugs.",,,
NEW,,"Also...if you happen to become undead you will
no longer need to sleep.",,,
NEW,,"Check the \I[66] icon in the pause menu
to see how sleepy you are.",,,
NEW,,"Don't worry about me, i'll just watch you
ween you sleep :)",,,
NEW,,Newspaper was found!,,,
NEW,,"You can learn new skills by going in
the \C[1]Training\C[0] of the main menu.",,,
NEW,,Here, get some lockpicks!,,
NEW,,Lockpick x6 was found!,,,
NEW,,Pixie Dust Vial was found!,,,
NEW,,Whetstone was found!,,,
NEW,,Ehi... do you like fishing?,,,
NEW,,Whoa! That's great i also love fishing!,,,
NEW,,"Do you happen also to like...cocaine?
Don't worry it's in a legal gray area
at the Omega Tower, not right out
illegal!",,,
NEW,,I can share some,,,
NEW,,Get out of my hut right now.,,,
NEW,,It's ok no peer pressure!,,,
NEW,,"Use \C[1]Target\C[0] in battle to check the
elemental weaknesses of a enemy.",,,
NEW,,"Element are:
\c[1]Physical\c[0], \c[2]Fire\c[0], \c[3]Water\c[0], \c[4]Thunder\c[0],
\c[5]Wind\c[0], \c[6]Ice\c[0], \c[7]Metal\c[0], \c[8]Sacred\c[0] and \c[9]Cursed\c[0]",,,
NEW,,"Both magic and physical attacks can inflict
elemental damage, there are also some classes like
the Nun that will inflict always Holy damage.",,,
NEW,,"Just remember this: if a companion falls in battle
you have until the battle end to try to stabilize
and revive him.",,,
NEW,,Nun beer six pack was found!,,,
NEW,,PVC Bow was found!,,,
NEW,,Venom Claws was found!,,,
NEW,,"
[MAP DISPLAY NAMES]
",,,
,,Hypernet point,Hypernet point,Punto Hypernet,
,,Elevator,Elevator,Ascensore,
,,Hall,Hall,Sala,
,,Narrow passage,Narrow passage,Passaggio stretto,
,,Central pillar,Central pillar,Pilastro centrale,
,,Maze,Maze,Labirinto,
,,Grey dock,Grey dock,Molo grigio,
,,Papercut plex,Papercut plex,Plex carta tagliente,
,,Shadowed meadows,Shadowed meadows,Prati ombreggiati,
,,Brickplace,Brickplace,Posto mattonoso,
,,Dirtplace,Dirtplace,Posto terroso,
,,Confined corridor,Confined corridor,Corridoio confinato,
,,Labis the Gnome capital,Labis the Gnome capital,Labis la Capitale degli gnomi,
,,Serene temple,Serene temple,Tempio sereno,
,,Forested village,Forested village,Villaggio boscoso,
,,Pillars,Pillars,Pilastri,
,,Masked bazaar,Masked bazaar,Bazar mascherato,
,,Smoldering wall,Smoldering wall,Muro fumante,
,,The Boneyard,The Boneyard,Boneyard,
,,Factory floor,Factory floor,Fabbrica,
,,Bulkward fortress,Bulkward fortress,Fortezza di Bulkward,
,,urquoise Maze,urquoise Maze,Labirinto turchese,
,,Fractured time,Fractured time,Tempo fratturato,
,,Spiral summers,Spiral summers,Estati a spirale,
,,Junk islands,Junk islands,Isole spazzatura,
,,Mossy palace,Mossy palace,Palazzo muschioso,
,,Figures world,Figures world,Mondo delle figure,
,,Sacrifice,Sacrifice,Sacrificio,
,,The Bridge,The Bridge,Il ponte,
,,Big Cross,Big Cross,Grande Croce,
,,Hypercapital burrows,Hypercapital burrows,Tane ipercapitalistiche,
,,Facade,Facade,Facciata,
,,Rotten library,Rotten library,Biblioteca marcia,
,,Crater valley,Crater valley,Valle dei crateri,
,,Mini dungeon,Mini dungeon,Mini dungeon,
,,Eye of God,Eye of God,Occhio di Dio,
,,Pinkpink Forest,Pinkpink Forest,Foresta rosarosa,
,,Dark metropolis,Dark metropolis,Metropoli oscura,
,,Mushroom planet,Mushroom planet,Pianeta fungo,
,,Bowels,Bowels,Viscere,
,,Rainbow land,Rainbow land,Metallo arcobaleno,
,,The Square Lodge,The Square Lodge,La Loggia Quadra,
,,Landfill,Landfill,Discarica,
,,Arcade Blue,Arcade Blue,Arcade Blue,
,,Graves,Graves,Tombe,
,,Opulent Palace,Opulent Palace,Palazzo opulento,
,,Generated Dungeon (Map 62),Generated Dungeon (Map 62),Dungeon generato (Mappa 62),
,,Landstrandedland,Landstrandedland,Metallo incolta,
,,Fuming cave,Fuming cave,Grotta fumante,
,,Tableword,Tableword,Tableworld,
,,Generated Dungeon (Map 66),Generated Dungeon (Map 66),,
,,Generated Dungeon (Map 67),Generated Dungeon (Map 67),,
,,Generated Dungeon (Map 68),Generated Dungeon (Map 68),,
,,Nuclear Bunker,Nuclear Bunker,,
,,Generated Dungeon (Map 70),Generated Dungeon (Map 70),,
,,Generated Dungeon (Map 71),Generated Dungeon (Map 71),,
,,Generated Dungeon (Map 72),Generated Dungeon (Map 72),,
,,Generated Dungeon (Map 73),Generated Dungeon (Map 73),,
,,Generated Dungeon (Map 74),Generated Dungeon (Map 74),,
,,Generated Dungeon (Map 75),Generated Dungeon (Map 75),,
,,Generated Dungeon (Map 76),Generated Dungeon (Map 76),,
,,Generated Dungeon (Map 77),Generated Dungeon (Map 77),,
,,Generated Dungeon (Map 78),Generated Dungeon (Map 78),,
